NAME,LAT,LONG,MRC
Deadman Canyon,32.625,-105.875,32105-F8
Deadman Lake,33.125,-105.250,33105-B3
Dean Ranch,33.000,-103.625,33103-A6
Deep Lake,35.000,-109.125,35109-A2
Deep Well,33.625,-104.750,33104-F7
Deer Mesa,36.000,-107.250,36107-A3
Deering Place,33.875,-104.250,33104-H3
Delgadita Mesa,36.625,-107.500,36107-F5
Dell City,31.875,-105.125,31105-H2
Delphos,34.000,-103.375,34103-A4
Deming East,32.250,-107.625,32107-C6
Deming West,32.250,-107.750,32107-C7
Dennis Canyon,37.000,-103.250,37103-A3
Denton Camp,33.750,-104.000,33104-G1
Denver City SW,32.750,-102.875,32102-G8
Derrick Draw,33.000,-104.125,33104-A2
Des Moines,36.750,-103.750,36103-G7
Desert,32.125,-106.125,32106-B2
Desert NE,32.125,-106.000,32106-B1
Desert SE,32.000,-106.000,32106-A1
Desert SW,32.000,-106.125,32106-A2
Devils Well,34.000,-104.625,34104-A6
Dexter East,33.125,-104.250,33104-B3
Dexter West,33.125,-104.375,33104-B4
Diablo Range,33.125,-108.375,33108-B4
Diamond A Ranch,33.250,-104.750,33104-C7
Diamond Mound,32.875,-104.125,32104-H2
Dilia,35.125,-105.000,35105-B1
Dillon Mountain,33.750,-108.750,33108-G7
Divine Lake,36.125,-104.000,36104-B1
Dix Creek,33.125,-109.125,33109-B2
Dog Lake,32.750,-103.625,32103-G6
Dog Mountains,31.250,-108.250,31108-C3
Dog Springs,34.250,-107.625,34107-C6
Domingo Peak,33.000,-105.750,33105-A7
Dona Ana,32.375,-106.750,32106-D7
Dora,33.875,-103.250,33103-H3
Dora NW,33.875,-103.375,33103-H4
Dora SW,33.750,-103.375,33103-G4
Dorsey Ranch,32.875,-108.375,32108-H4
Dos Lomas,35.250,-107.750,35107-C7
Double Wells,31.625,-108.125,31108-F2
Doubtful Canyon,32.250,-109.000,32109-C1
Dough Mountain,34.875,-107.250,34107-H3
Doyle Hill,35.625,-103.000,35103-F1
Doyle Peak,31.750,-108.250,31108-G3
Dugout Canyon,33.000,-106.750,33106-A7
Dulce,36.875,-106.875,36106-H8
Dulce Draw,33.875,-105.875,33105-H8
Duncan,32.625,-109.000,32109-F1
Dunken,32.750,-105.125,32105-G2
Dunlap,34.000,-104.500,34104-A5
Dunlap NE,34.125,-104.500,34104-B5
Dunlap Ranch,34.500,-105.375,34105-E4
Dunlap Sill,33.875,-104.500,33104-H5
Duoro,34.375,-104.875,34104-D8
Duran,34.375,-105.375,34105-D4
Duran NE,34.375,-105.250,34105-D3
Dusty,33.625,-107.625,33107-F6
Dutch Blue Creek,33.375,-109.125,33109-D2
Dwyer,32.625,-107.750,32107-F7
Dwyer SE,32.500,-107.750,32107-E7
Eagle Eye Peak,32.500,-108.500,32108-E5
Eagle Mountain,31.250,-108.375,31108-C4
Eagle Nest,36.500,-105.250,36105-E3
Eagle Peak,33.625,-108.500,33108-F5
Eagle Tail Mountain,36.625,-104.375,36104-F4
Ear Rock,35.875,-108.500,35108-H5
East Fork Kutz Canyon,36.500,-107.875,36107-E8
East Gavilan Canyon,36.625,-106.250,36106-F3
East Lake,32.250,-103.250,32103-C3
East Mesa,34.750,-107.500,34107-G5
East of Great Bend,36.125,-108.375,36108-B4
East of Grey Hill Spring,36.000,-108.375,36108-A4
Echo Amphitheater,36.250,-106.500,36106-C5
Edgewood,35.000,-106.125,35106-A2
Edith,37.000,-106.875,37106-A8
Eighteenmile Hill,34.125,-104.125,34104-B2
Eightmile Draw,33.625,-104.250,33104-F3
El Cabo,35.000,-105.500,35105-A5
El Cuervo Butte,35.000,-105.750,35105-A7
El Dado,35.500,-107.500,35107-E5
El Dado Mesa,35.375,-107.375,35107-D4
El Morro,35.000,-108.250,35108-A3
El Morro Mesa,34.250,-104.625,34104-C6
El Morro Ranch,34.500,-104.875,34104-E8
El Morro Ranch NW,34.625,-104.875,34104-F8
El Morro Ranch SE,34.500,-104.750,34104-E7
El Paso,31.750,-106.375,31106-G4
El Paso Canyon,32.500,-105.625,32105-E6
El Paso Draw,32.375,-105.625,32105-D6
El Paso Gap,32.000,-104.750,32104-A7
El Porvenir,35.625,-105.375,35105-F4
El Rito,36.250,-106.125,36106-C2
El Vado,36.500,-106.625,36106-E6
El Valle,36.000,-105.625,36105-A6
Elephant Butte,33.125,-107.125,33107-B2
Elephant Mountain,32.375,-106.125,32106-D2
Elida,33.875,-103.625,33103-H6
Elida SE,33.750,-103.500,33103-G5
Elk,32.875,-105.250,32105-H3
Elk Mountain,35.750,-105.500,35105-G5
Elk-Silver,33.000,-105.500,33105-A5
Elkins,33.625,-104.000,33104-F1
Elsie Canyon,33.500,-104.875,33104-E8
Elwood,32.250,-106.125,32106-C2
Emery Peak,36.875,-103.750,36103-H7
Encino,34.625,-105.375,34105-F4
Encino Draw,32.625,-104.875,32104-F8
Encinoso,33.625,-105.375,33105-F4
Endee Hill,34.875,-103.000,34103-H1
Engine Mountain,32.375,-109.000,32109-D1
Engle,33.125,-107.000,33107-B1
Escabosa,34.875,-106.250,34106-H3
Escondido Mountains,34.125,-108.375,34108-B4
Escudilla Mountain,33.875,-109.000,33109-H1
Espanola,35.875,-106.000,35106-H1
Espinosa Ranch,36.750,-107.250,36107-G3
Espuela,32.875,-104.375,32104-H4
Estancia,34.750,-106.000,34106-G1
Eunice,32.375,-103.125,32103-D2
Eunice NE,32.375,-103.000,32103-D1
Eunice SE,32.250,-103.000,32103-C1
Ewing,34.625,-106.125,34106-F2
Fairview Mountain,33.375,-106.500,33106-D5
Fairview Well,33.250,-106.875,33106-C8
Fallon Ranch,34.750,-104.375,34104-G4
Farley,36.250,-104.000,36104-C1
Farmington North,36.750,-108.125,36108-G2
Farmington South,36.625,-108.125,36108-F2
Farwell,34.375,-103.000,34103-D1
Faywood Station,32.500,-108.000,32108-E1
Felt SW,36.500,-102.875,36102-E8
Fence Canyon,33.250,-106.750,33106-C7
Fence Lake,34.625,-108.625,34108-F6
Fence Lake SW,34.500,-108.625,34108-E6
Fiddler Springs,36.750,-103.500,36103-G5
Field,34.625,-103.500,34103-F5
Field Ranch,34.500,-107.375,34107-E4
Field SE,34.500,-103.500,34103-E5
Field SW,34.500,-103.625,34103-E6
Fifteenmile Lake,33.000,-106.250,33106-A3
Figure Seven Ranch,32.125,-102.875,32102-B8
Fire Rock Well,36.000,-107.625,36107-A6
Firman Canyon,33.000,-105.625,33105-A6
Fishers Peak,37.000,-104.375,37104-A4
Fitzpatricks,31.375,-108.750,31108-D7
Five Lakes Canyon NE,36.125,-107.000,36107-B1
Five Lakes Canyon NW,36.125,-107.125,36107-B2
Flagstone Mountain,35.375,-104.750,35104-D7
Fleck Draw,32.750,-106.625,32106-G6
Flora Vista,36.750,-108.000,36108-G1
Florida,32.375,-107.500,32107-D5
Florida Gap,32.125,-107.500,32107-B5
Floyd,34.125,-103.500,34103-B5
Floyd SE,34.000,-103.500,34103-A5
Flying H,33.000,-105.000,33105-A1
Flying H NE,33.125,-105.000,33105-B1
Flying H NW,33.125,-105.125,33105-B2
Flying M Ranch,33.500,-103.500,33103-E5
Flying W Mountain,31.875,-108.000,31108-H1
Folsom,36.750,-103.875,36103-G8
Forrest,34.750,-103.500,34103-G5
Fort Bayard,32.750,-108.125,32108-G2
Fort Bliss NE,31.875,-106.250,31106-H3
Fort Craig,33.625,-107.000,33107-F1
Fort Defiance,35.750,-109.000,35109-G1
Fort Ranch,33.000,-103.500,33103-A5
Fort Stanton,33.375,-105.500,33105-D5
Fort Sumner East,34.375,-104.125,34104-D2
Fort Sumner West,34.375,-104.250,34104-D3
Fort Union,35.875,-105.000,35105-H1
Fort Wingate,35.375,-108.500,35108-D5
Foster Lake,32.625,-106.125,32106-F2
Foster Ranch,32.500,-104.500,32104-E5
Foster Well,33.500,-106.500,33106-E5
Four V Ranch,35.375,-104.250,35104-D3
Fourmile Canyon,36.625,-107.375,36107-F4
Fox Creek,37.000,-106.125,37106-A2
Frankel City SW,32.250,-102.875,32102-C8
French,36.375,-104.500,36104-D5
French Mesa,36.250,-106.750,36106-C7
Fresno Canyon,36.500,-107.625,36107-E6
Frier Ranch,33.125,-103.500,33103-B5
Frijoles,35.750,-106.250,35106-G3
Fritz Canyon,33.250,-109.125,33109-C2
Fruitland,36.625,-108.375,36108-F4
Frutosa Lake,35.750,-104.625,35104-G6
Fuentes Ranch,35.500,-103.500,35103-E5
Fuller Ranch,33.375,-106.750,33106-D7
Fullerton,33.750,-108.125,33108-G2
Furnish Canyon East,37.000,-103.000,37103-A1
Furnish Canyon West,37.000,-103.125,37103-A2
Gacho Hill,34.375,-105.000,34105-D1
Gacho Hill NW,34.375,-105.125,34105-D2
Gacho Hill SE,34.250,-105.000,34105-C1
Gacho Hill SW,34.250,-105.125,34105-C2
Gage,32.125,-108.000,32108-B1
Gage NW,32.125,-108.125,32108-B2
Gage SE,32.000,-108.000,32108-A1
Gage SW,32.000,-108.125,32108-A2
Galisteo,35.375,-105.875,35105-D8
Gallegos,35.500,-103.625,35103-E6
Gallegos NE,35.625,-103.500,35103-F5
Gallegos Trading Post,36.500,-108.000,36108-E1
Gallina,36.125,-106.750,36106-B7
Gallinas Peak,34.125,-107.375,34107-B4
Gallo Mountains East,34.000,-108.500,34108-A5
Gallo Mountains West,34.000,-108.625,34108-A6
Gallo Spring Canyon,34.125,-105.375,34105-B4
Gallo Spring Canyon NE,34.125,-105.250,34105-B3
Gallup East,35.500,-108.625,35108-E6
Gallup West,35.500,-108.750,35108-E7
Gammil Well,34.125,-103.875,34103-B8
Gammil Well NE,34.125,-103.750,34103-B7
Gammil Well SE,34.000,-103.750,34103-A7
Garcia,37.000,-105.500,37105-A5
Garcia Creek,36.125,-103.500,36103-B5
Garcia Lake,34.750,-102.875,34102-G8
Garcia Peak,36.375,-105.125,36105-D2
Garden Spring Canyon,33.750,-106.250,33106-G3
Gardner Peak,32.750,-106.500,32106-G5
Garfield,32.750,-107.250,32107-G3
Garrett Ranch,34.500,-103.250,34103-E3
Garrison,33.750,-103.125,33103-G2
Garton Lake,32.750,-106.125,32106-G2
Gary,32.250,-108.750,32108-C7
Gascon,35.875,-105.375,35105-H4
Gate Canyon,35.000,-104.125,35104-A2
George Ranch,34.750,-105.125,34105-G2
Ghost Ranch,36.250,-106.375,36106-C4
Gibbons Ranch,34.625,-104.375,34104-F4
Gila Hot Springs,33.125,-108.125,33108-B2
Gillespie Mountain,31.625,-108.625,31108-F6
Gilman,35.625,-106.750,35106-F7
Gilmore Draw,32.750,-106.750,32106-G7
Gladiola,33.250,-103.125,33103-C2
Gladstone,36.250,-103.875,36103-C8
Gladstone NW,36.375,-103.875,36103-D8
Glenrio,35.125,-103.000,35103-B1
Glenwood,33.250,-108.875,33108-C8
Glorieta,35.500,-105.750,35105-E7
Goat Camp Spring,32.750,-109.000,32109-G1
Goat Canyon,36.250,-103.500,36103-C5
Goat Hill,34.875,-108.250,34108-H3
Goat Mountain,35.375,-107.875,35107-D8
Goat Ridge,32.375,-107.750,32107-D7
Goat Spring,34.250,-108.875,34108-C8
Gobernador,36.625,-107.250,36107-F3
Godfrey Peak,33.375,-105.875,33105-D8
Goetsch Lake,35.625,-104.875,35104-F8
Gold Hill,32.375,-108.500,32108-D5
Golden,35.250,-106.125,35106-C2
Golden Ranch,34.000,-103.000,34103-A1
Goldenburg Draw,32.625,-106.625,32106-F6
Golondrina Draw,33.250,-105.875,33105-C8
Golondrina Well,33.875,-105.250,33105-H3
Gomez Ranch,36.750,-107.375,36107-G4
Gonzales Mesa,36.375,-107.375,36107-D4
Good Sight Peak,32.375,-107.375,32107-D4
Good Sight Peak NE,32.375,-107.250,32107-D3
Goodson School,36.875,-103.000,36103-H1
Gould Pass,36.500,-107.500,36107-E5
Gowdy Ranch,32.250,-105.000,32105-C1
Grady,34.750,-103.250,34103-G3
Grady SW,34.750,-103.375,34103-G4
Grama Ridge,32.375,-103.500,32103-D5
Gran Quivira,34.250,-106.000,34106-C1
Grandmother Mountain East,32.250,-108.000,32108-C1
Grandmother Mountain West,32.250,-108.125,32108-C2
Granite Mountain,34.125,-107.125,34107-B2
Granjean Well,33.625,-106.625,33106-F6
Granny Mountain,33.000,-108.250,33108-A3
Grants,35.125,-107.750,35107-B7
Grants SE,35.000,-107.750,35107-A7
Granville Canyon,33.500,-105.000,33105-E1
Grapevine Draw,32.000,-104.500,32104-A5
Grassy Lookout,33.750,-107.375,33107-G4
Greasewood Canyon,37.000,-108.375,37108-A4
Great Bend,36.125,-108.500,36108-B5
Greendailey Canyon,36.750,-103.000,36103-G1
Greens Baber Well,33.625,-106.500,33106-F5
Greenwood Lake,32.625,-103.750,32103-F7
Greg Hills,32.500,-107.500,32107-E5
Grenville,36.500,-103.500,36103-E5
Grenville SW,36.500,-103.625,36103-E6
Grey Hill Spring,36.000,-108.500,36108-A5
Grouse Mountain,33.250,-108.625,33108-C6
Guadalupe,35.500,-107.125,35107-E2
Guadalupe Canyon,31.250,-109.000,31109-C1
Guadalupe Mountain,36.625,-105.625,36105-F6
Guadalupe Pass,31.250,-108.875,31108-C8
Guadalupe Peak,31.875,-104.750,31104-H7
Guadalupe Spring,31.375,-109.000,31109-D1
Guadalupita,36.125,-105.125,36105-B2
Guaje Mountain,35.875,-106.250,35106-H3
Gunsight Canyon,32.000,-104.625,32104-A6
Guy,36.750,-103.375,36103-G4
Guzmans Lookout Mountain,31.750,-107.125,31107-G2
Gym Peak,32.000,-107.500,32107-A5
Hachita,31.875,-108.250,31108-H3
Hachita Peak,31.750,-108.375,31108-G4
Hackberry Hill,32.250,-105.125,32105-C2
Hackberry Lake,32.625,-103.875,32103-F8
Hackberry Ranch,33.000,-104.500,33104-A5
Hagan,35.250,-106.250,35106-C3
Hagerman,33.000,-104.250,33104-A3
Hagerman SW,33.000,-104.375,33104-A4
Hammond Ranch,34.625,-103.375,34103-F4
Hammond Ranch SW,34.500,-103.375,34103-E4
Hampton Ranch,35.375,-103.625,35103-D6
Harben Lake,34.875,-104.375,34104-H4
Hard Ground Flats,35.625,-108.500,35108-F5
Harden Cienega,33.125,-109.000,33109-B1
Hardscrabble Mountains,33.125,-106.625,33106-B6
Harriet Ranch,33.500,-106.750,33106-E7
Harvey Ranch,32.875,-105.500,32105-H5
Hasperos Camp,33.875,-105.375,33105-H4
Hassell,34.625,-104.000,34104-F1
Hat Top Mountain,31.875,-108.125,31108-H2
Hatch,32.625,-107.125,32107-F2
Hatchet Ranch,31.625,-108.250,31108-F3
Hay Mesa,33.000,-107.875,33107-A8
Hayden,35.875,-103.250,35103-H3
Haystack Butte,33.750,-104.125,33104-G2
Haystack Mountain,33.625,-104.125,33104-F2
Headcut Reservoir,35.750,-107.000,35107-G1
Heart Rock,35.625,-108.000,35108-F1
Heart of the Sands,32.750,-106.250,32106-G3
Heart of the Sands NE,32.875,-106.250,32106-H3
Heart of the Sands NW,32.875,-106.375,32106-H4
Heart of the Sands SW,32.750,-106.375,32106-G4
Heifer Point,36.875,-108.375,36108-H4
Hembrillo Basin,32.875,-106.625,32106-H6
Hembrillo Canyon,32.875,-106.500,32106-H5
Hendricks Peak,32.875,-107.875,32107-H8
Henshaw Tank,32.875,-103.875,32103-H8
Hermanas,31.750,-107.875,31107-G8
Hermanas NW,31.875,-107.875,31107-H8
Hernandez Lake,33.875,-104.125,33104-H2
Heron Reservoir,36.625,-106.625,36106-F6
Herrera,35.125,-107.000,35107-B1
Hickman Ranch,33.625,-107.125,33107-F2
Higginbotham,32.875,-102.875,32102-H8
High Lonesome Well,35.000,-109.000,35109-A1
High Rolls,32.875,-105.750,32105-H7
Hillburn City,33.000,-103.250,33103-A3
Hillburn City SW,33.000,-103.375,33103-A4
Hillsboro,32.875,-107.500,32107-H5
Hillsboro Peak,32.875,-107.750,32107-H7
Hilo Peak,31.375,-108.500,31108-D5
Hobbs East,32.625,-103.000,32103-F1
Hobbs SE,32.500,-103.000,32103-E1
Hobbs SW,32.500,-103.125,32103-E2
Hobbs West,32.625,-103.125,32103-F2
Hobo Tank,31.875,-105.750,31105-H7
Hockett,32.500,-107.250,32107-E3
Holloman,32.750,-106.000,32106-G1
Holman,36.000,-105.375,36105-A4
Holt Mountain,33.250,-108.750,33108-C7
Holt Tank,32.625,-104.750,32104-F7
Holy Ghost Spring,35.625,-106.875,35106-F8
Hondo Reservoir,33.250,-104.625,33104-C6
Honey Boy Ranch,35.625,-105.500,35105-F5
Hope,32.750,-104.625,32104-G6
Hope NE,32.875,-104.500,32104-H5
Hope NW,32.875,-104.625,32104-H6
Hope SE,32.750,-104.500,32104-G5
Horcado Ranch,35.750,-106.000,35106-G1
Horn Canyon,36.625,-108.000,36108-F1
Horney Ranch,34.250,-104.500,34104-C5
Horse Lake,36.750,-106.750,36106-G7
Horse Mesa,36.625,-109.000,36109-F1
Horse Mountain,31.500,-108.500,31108-E5
Horse Mountain East,33.875,-108.000,33108-H1
Horse Mountain West,33.875,-108.125,33108-H2
Horse Pasture Tank,35.125,-104.750,35104-B7
Horsehead Canyon,35.000,-108.625,35108-A6
Horsehead Canyon NW,35.125,-108.625,35108-B6
Horseshoe Bend,33.250,-104.875,33104-C8
Horseshoe Bend NW,33.375,-104.875,33104-D8
Hospah,35.625,-107.625,35107-F6
Hosta Butte,35.500,-108.125,35108-E2
Hot Well,32.625,-109.125,32109-F2
Houck,35.250,-109.125,35109-C2
House,34.625,-103.875,34103-F8
House Canyon,36.625,-104.875,36104-F8
House SE,34.500,-103.750,34103-E7
Howell Ranch,34.000,-104.000,34104-A1
Hubbell Spring,34.875,-106.500,34106-H5
Hudson,35.250,-103.500,35103-C5
Hueco Tanks,31.875,-106.000,31106-H1
Huerfanito Peak,36.500,-107.750,36107-E7
Huerfano Hill,33.250,-107.250,33107-C3
Huerfano Trading Post,36.375,-107.750,36107-D7
Huerfano Trading Post NW,36.375,-107.875,36107-D8
Huerfano Trading Post SW,36.250,-107.875,36107-C8
Huff Hill,33.750,-105.125,33105-G2
Hugh Lake,36.500,-108.125,36108-E2
Humble City,32.750,-103.125,32103-G2
Humble City NE,32.875,-103.000,32103-H1
Humble City NW,32.875,-103.125,32103-H2
Humble City SE,32.750,-103.000,32103-G1
Hunter Mesa,36.750,-104.250,36104-G3
Hunter Wash,36.125,-108.250,36108-B3
Hunters Point,35.500,-109.000,35109-E1
Hurley East,32.625,-108.000,32108-F1
Hurley West,32.625,-108.125,32108-F2
Ice Caves,34.875,-108.000,34108-H1
Ice Caves SE,34.750,-108.000,34108-G1
Ignacio,37.000,-107.625,37107-A6
Illinois Camp,32.625,-104.125,32104-F2
Illinois Camp NE,32.625,-104.000,32104-F1
Illinois Camp SE,32.500,-104.000,32104-E1
Ima,34.875,-104.000,34104-H1
Ima NW,34.875,-104.125,34104-H2
Ima SE,34.750,-104.000,34104-G1
Ima SW,34.750,-104.125,34104-G2
Independence Spring,31.875,-104.625,31104-H6
Indian Bathtub,35.750,-103.500,35103-G5
Indian Bluff,33.000,-104.750,33104-A7
Indian Draw,32.375,-105.375,32105-D4
Indian Flats,32.375,-104.000,32104-D1
Indian Mesa,34.250,-107.500,34107-C5
Indian Peak,31.750,-108.875,31108-G8
Indian Peaks East,33.500,-107.875,33107-E8
Indian Peaks West,33.500,-108.000,33108-E1
Indian Spring Canyon,34.250,-107.375,34107-C4
Indian Well Wilderness,33.750,-106.875,33106-G8
Ingram Lake,36.250,-104.125,36104-C2
Ink Basin,33.000,-102.875,33102-A8
Ione,35.750,-103.250,35103-G3
Iron Mountain,33.375,-107.625,33107-D6
Ironhouse Draw,32.625,-103.375,32103-F4
Ironhouse Well,32.625,-103.500,32103-F5
Isleta,34.875,-106.625,34106-H6
Jacinto Mesa,35.000,-105.375,35105-A4
Jacob Spring,33.625,-105.500,33105-F5
Jal,32.000,-103.125,32103-A2
Jal NE,32.125,-103.000,32103-B1
Jal NW,32.125,-103.125,32103-B2
Jal SE,32.000,-103.000,32103-A1
Jaralosa Mountain,33.375,-107.500,33107-D5
Jaritas Ranch,36.125,-104.375,36104-B4
Jarosa,36.000,-106.625,36106-A6
Javelina Basin,32.000,-103.250,32103-A3
Jemez Pueblo,35.500,-106.625,35106-E6
Jemez Springs,35.750,-106.625,35106-G6
Jesus Canyon,37.000,-103.375,37103-A4
Jicarilla Peak,33.750,-105.500,33105-G5
Jicarita Peak,36.000,-105.500,36105-A5
Joe Woody Well,35.500,-109.125,35109-E2
John Kerr Peak,33.750,-108.375,33108-G4
John Mills Lake,36.750,-107.000,36107-G1
Johnson Park,36.750,-104.125,36104-G2
Johnson Ranch,33.375,-103.375,33103-D4
Johnson Trading Post,35.875,-107.125,35107-H2
Jones Canyon,34.000,-108.875,34108-A8
Jones Ranch School,35.250,-108.875,35108-C8
Jordan,34.750,-103.750,34103-G7
Juan Lake,33.125,-104.625,33104-B6
Juan Largo Canyon East,33.875,-105.000,33105-H1
Juan Largo Canyon West,33.875,-105.125,33105-H2
Jug Canyon,32.625,-107.375,32107-F4
Jumbo Hill,32.375,-102.875,32102-D8
Jumping Spring,32.000,-104.250,32104-A3
Kansas Valley,36.000,-104.000,36104-A1
Kansas Valley Lake,35.875,-104.000,35104-H1
Kearn Lake,34.500,-109.125,34109-E2
Kellog Well,33.875,-107.625,33107-H6
Kenna,33.750,-103.750,33103-G7
Kenna SW,33.750,-103.875,33103-G8
Kenton,36.875,-102.875,36102-H8
Kenton SW,36.750,-102.875,36102-G8
Kerlin Hill,35.625,-103.125,35103-F2
Kermit NW,31.875,-103.125,31103-H2
Kettner Canyon,35.125,-108.250,35108-B3
Kilbourne Hole,31.875,-106.875,31106-H8
Kimbeto,36.125,-107.750,36107-B7
Kin Klizhin Ruins,36.000,-108.000,36108-A1
Kincaid Ranch,33.000,-104.625,33104-A6
King Camp,33.000,-104.000,33104-A1
King Draw,35.125,-106.000,35106-B1
Kingston,32.875,-107.625,32107-H6
Kiowa,36.625,-104.000,36104-F1
Kiowa Hill,37.000,-105.750,37105-A7
Kirtland,36.625,-108.250,36108-F3
Kirtland SE,36.500,-108.250,36108-E3
Kirtland SW,36.500,-108.375,36108-E4
Kitchen Cove,32.250,-104.250,32104-C3
Knoblaw,35.500,-102.875,35102-E8
Koehler,36.625,-104.500,36104-F5
Koger Ranch,35.875,-103.000,35103-H1
Krider,34.375,-103.750,34103-D7
Kyle Harrison Canyon,33.625,-105.250,33105-F3
Kyle Ranch,31.875,-103.625,31103-H6
L E Ranch,33.375,-104.125,33104-D2
La Chata Crater,36.000,-104.750,36104-A7
La Cinta Canyon,35.750,-104.125,35104-G2
La Cinta Mesa,35.375,-104.000,35104-D1
La Espia Peak,34.000,-104.250,34104-A3
La Gotera,35.250,-107.125,35107-C2
La Jara Peak,34.375,-107.250,34107-D3
La Joya,34.250,-106.750,34106-C7
La Joya NW,34.375,-106.875,34106-D8
La Liendre,35.375,-105.000,35105-D1
La Madera,36.375,-106.000,36106-D1
La Mesa,32.000,-106.625,32106-A6
La Mesita Negra,35.000,-106.875,35106-A8
La Mesita Negra SE,35.000,-106.750,35106-A7
La Paloma Canyon,32.125,-104.875,32104-B8
La Plata,36.875,-108.125,36108-H2
La Rendija,34.625,-108.125,34108-F2
La Segita Peaks,36.750,-105.875,36105-G8
La Segita Peaks NE,36.875,-105.750,36105-H7
La Silla,35.250,-104.375,35104-C4
La Union,31.875,-106.625,31106-H6
La Valley,37.000,-105.250,37105-A3
La Ventana,35.750,-106.875,35106-G8
La Vida Mission,36.000,-108.125,36108-A2
Ladron Peak,34.375,-107.000,34107-D1
Laguna,35.000,-107.375,35107-A4
Laguna Canoneros,35.250,-107.375,35107-C4
Laguna Castillo,35.625,-107.875,35107-F8
Laguna De Los Terreros,34.625,-104.750,34104-F7
Laguna Del Perro North,34.625,-105.875,34105-F8
Laguna Del Perro South,34.500,-105.875,34105-E8
Laguna Gatuna,32.500,-103.625,32103-E6
Laguna Gatuna NW,32.625,-103.625,32103-F6
Laguna Gurule,36.250,-106.875,36106-C8
Laguna Honda,34.750,-107.750,34107-G7
Laguna Huerfana,35.500,-104.750,35104-E7
Laguna La Monia,35.500,-104.875,35104-E8
Laguna Ortiz,35.250,-105.500,35105-C5
Laguna Peak,36.250,-106.625,36106-C6
Laguna Seca,35.375,-107.250,35107-D3
Lagunitas Creek,36.750,-106.250,36106-G3
Lake Armijo,34.375,-108.625,34108-D6
Lake Isabel,35.750,-105.125,35105-G2
Lake Lucero,32.625,-106.375,32106-F4
Lake Lucero NE,32.625,-106.250,32106-F3
Lake Lucero SE,32.500,-106.250,32106-E3
Lake McMillan North,32.625,-104.250,32104-F3
Lake McMillan South,32.500,-104.250,32104-E3
Lake Valley,32.625,-107.500,32107-F5
Lanark,31.875,-106.750,31106-H7
Lane Salt Lake,33.375,-103.500,33103-D5
Lang Canyon,31.250,-108.750,31108-C7
Lapis Point,36.375,-107.250,36107-D3
Largo Mesa,34.125,-108.500,34108-B5
